Mathematics,2017 2016,SA00AM03A17R SA00AM03A16R,DA00AM03A17R DA00AM03A16R,CA00AM03A17R CA00AM03A16R,"CB00AM03A17R CB00AM03A16R
:unselected:",CH00AM03A17R CH00AM03A16R,CW00AM03A17R CW00AM03A16R,CI00AM03A17R CI00AM03A16R,C300AM03A17R C300AM03A16R,C400AM03A17R C400AM03A16R,C200AM03A17R C200AM03A16R,CS00AM03A17R CS00AM03A16R,CE00AM03A17R CE00AM03A16R,CL00AM03A17R CL00AM03A16R,,
Writing,2017 2016,SA00AW03A17R SA00AW03A16R,DA00AW03A17R DA00AW03A16R,CA00AW03A17R CA00AW03A16R,"CB00AW03A17R CB00AW03A16R
:unselected: :unselected:",CH00AW03A17R CH00AW03A16R,CW00AW03A17R CW00AW03A16R,CI00AW03A17R CI00AW03A16R,C300AW03A17R C300AW03A16R,C400AW03A17R C400AW03A16R,C200AW03A17R C200AW03A16R,CS00AW03A17R CS00AW03A16R,CE00AW03A17R CE00AW03A16R,CL00AW03A17R CL00AW03A16R,,
Science,2017 2016,SA00AC03A17R SA00AC03A16R,DA00AC03A17R DA00AC03A16R,CA00AC03A17R CA00AC03A16R,CB00AC03A17R CB00AC03A16R,CH00AC03A17R CH00AC03A16R,CW00AC03A17R CW00AC03A16R,CI00AC03A17R CI00AC03A16R,C300AC03A17R C300AC03A16R,C400AC03A17R C400AC03A16R,C200AC03A17R C200AC03A16R,CS00AC03A17R CS00AC03A16R,CE00AC03A17R CE00AC03A16R,CL00AC03A17R CL00AC03A16R,,
Social Studies,2017 2016,SA00AS03A17R SA00AS03A16R,DA00AS03A17R DA00AS03A16R,CA00AS03A17R CA00AS03A16R,CB00AS03A17R CB00AS03A16R,CH00AS03A17R CH00AS03A16R,CW00AS03A17R CW00AS03A16R,CI00AS03A17R CI00AS03A16R,C300AS03A17R C300AS03A16R,C400AS03A17R C400AS03A16R,C200AS03A17R C200AS03A16R,CS00AS03A17R CS00AS03A16R,CE00AS03A17R CE00AS03A16R,CL00AS03A17R CL00AS03A16R,,
,,,,,,,,,,,,,,,,
,,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,
STAAR Percent Met or Exceeded Progress,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017 2016,SA00A002G17R SA00A002G16R,"DA00A002G17R DA00A002G16R
:unselected:
:unselected:","CA00A002G17R CA00A002G16R
:unselected:
:unselected:","CB00A002G17R CB00A002G16R
:unselected:","CH00A002G17R CH00A002G16R
:unselected:
:unselected:",CW00A002G17R CW00A002G16R,CI00A002G17R CI00A002G16R,C300A002G17R C300A002G16R,C400A002G17R C400A002G16R,C200A002G17R C200A002G16R,CS00A002G17R CS00A002G16R,CE00A002G17R CE00A002G16R,C000A002G17R C000A002G16R,,
Reading,2017 2016,SA00AR02G17R SA00AR02G16R,"DA00AR02G17R DA00AR02G16R
:unselected:","CA00AR02G17R CA00AR02G16R
:unselected:
:unselected:",CB00AR02G17R CB00AR02G16R,"CH00AR02G17R CH00AR02G16R
:unselected:",CW00AR02G17R CW00AR02G16R,CI00AR02G17R CI00AR02G16R,C300AR02G17R C300AR02G16R,C400AR02G17R C400AR02G16R,C200AR02G17R C200AR02G16R,CS00AR02G17R CS00AR02G16R,CE00AR02G17R CE00AR02G16R,C000AR02G17R C000AR02G16R,,
Mathematics,2017 2016,SA00AM02G17R SA00AM02G16R,"DA00AM02G17R DA00AM02G16R
:unselected:","CA00AM02G17R CA00AM02G16R
:unselected:
:unselected:","CB00AM02G17R CB00AM02G16R
:unselected:
:unselected:","CH00AM02G17R CH00AM02G16R
:unselected:",CW00AM02G17R CW00AM02G16R,CI00AM02G17R CI00AM02G16R,C300AM02G17R C300AM02G16R,C400AM02G17R C400AM02G16R,C200AM02G17R C200AM02G16R,CS00AM02G17R CS00AM02G16R,CE00AM02G17R CE00AM02G16R,C000AM02G17R C000AM02G16R,,
STAAR Percent Exceeded Progress,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017,SA00A002E17R,"DA00A002E17R
:unselected:","CA00A002E17R
:unselected:","CB00A002E17R
:unselected:","CH00A002E17R
:unselected:",CW00A002E17R,CI00A002E17R,C300A002E17R,C400A002E17R,C200A002E17R,CS00A002E17R,CE00A002E17R,C000A002E17R,,
,2016,SA00A002E16R,"DA00A002E16R
:unselected:","CA00A002E16R
:unselected:",CB00A002E16R,"CH00A002E16R
:unselected:",CW00A002E16R,CI00A002E16R,C300A002E16R,C400A002E16R,C200A002E16R,CS00A002E16R,CE00A002E16R,C000A002E16R,,
Reading,2017 2016,SA00AR02E17R SA00AR02E16R,"DA00AR02E17R DA00AR02E16R
:unselected:","CA00AR02E17R CA00AR02E16R
:unselected:
:unselected:",CB00AR02E17R CB00AR02E16R,"CH00AR02E17R CH00AR02E16R
:unselected:
:unselected:",CW00AR02E17R CW00AR02E16R,CI00AR02E17R CI00AR02E16R,C300AR02E17R C300AR02E16R,C400AR02E17R C400AR02E16R,C200AR02E17R C200AR02E16R,CS00AR02E17R CS00AR02E16R,CE00AR02E17R CE00AR02E16R,C000AR02E17R C000AR02E16R,,
Mathematics,2017 2016,SA00AM02E17R SA00AM02E16R,DA00AM02E17R DA00AM02E16R,"CA00AM02E17R CA00AM02E16R
:unselected: :unselected:","CB00AM02E17R CB00AM02E16R
:unselected:",CH00AM02E17R CH00AM02E16R,CW00AM02E17R CW00AM02E16R,CI00AM02E17R CI00AM02E16R,C300AM02E17R C300AM02E16R,C400AM02E17R C400AM02E16R,C200AM02E17R C200AM02E16R,CS00AM02E17R CS00AM02E16R,CE00AM02E17R CE00AM02E16R,C000AM02E17R C000AM02E16R,,
Progress of Prior-Year Non-Proficient Students,,,,,,,,,,,,,,,,
Sum of Grades 4-8,,,,,,,,,,,,,,,,
Reading,2017,SA408FR17R,DA408FR17R,CA408FR17R,CB408FR17R,CH408FR17R,CW408FR17R,CI408FR17R,C3408FR17R,C4408FR17R,C2408FR17R,CS408FR17R,CE408FR17R,CL408FR17R,,
,2016,SA408FR16R,DA408FR16R,CA408FR16R,CB408FR16R,CH408FR16R,CW408FR16R,CI408FR16R,C3408FR16R,C4408FR16R,C2408FR16R,CS408FR16R,CE408FR16R,CL408FR16R,,
Mathematics,2017,SA408FM17R,DA408FM17R,CA408FM17R,CB408FM17R,CH408FM17R,CW408FM17R,CI408FM17R,C3408FM17R,C4408FM17R,C2408FM17R,CS408FM17R,CE408FM17R,CL408FM17R,,
,,,,,,,,,,,,,,,,
State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,,,
Student Success Initiative,,,,,,,,,,,,,,,,
Grade 5 Reading,,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level on First STAAR
2017 SA05AREP517R DA05AREP517R
:unselected:",,"Administration
CA05AREP517R
:unselected:","CB05AREP517R
:unselected:","CH05AREP517R
:unselected:",CW05AREP517R,CI05AREP517R,C305AREP517R,C405AREP517R,C205AREP517R,CS05AREP517R,CE05AREP517R,CL05AREP517R,,,,
Students Requiring Accelerated Instruction 2017 SA05AREF517R,"DA05AREF517R
:unselected:","CA05AREF517R
:unselected:","CB05AREF517R
:unselected:","CH05AREF517R
:unselected:",CW05AREF517R,CI05AREF517R,C305AREF517R,C405AREF517R,C205AREF517R,CS05AREF517R,CE05AREF517R,CL05AREF517R,,,,
STAAR Cumulative Met Standard 2017 SA05AREC517R,"DA05AREC517R
:unselected:","CA05AREC517R
:unselected:","CB05AREC517R
:unselected:","CH05AREC517R
:unselected:",CW05AREC517R,CI05AREC517R,C305AREC517R,C405AREC517R,C205AREC517R,CS05AREC517R,CE05AREC517R,CL05AREC517R,,,,
Grade 5 Mathematics,,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level on First STAAR Administration 2017 SA05AMAP517R DA05AMAP517R CA05AMAP517R
:unselected: :unselected:",,,"CB05AMAP517R
:unselected:","CH05AMAP517R
:unselected:",CW05AMAP517R,CI05AMAP517R,C305AMAP517R,C405AMAP517R,C205AMAP517R,CS05AMAP517R,CE05AMAP517R,CL05AMAP517R,,,,
Students Requiring Accelerated Instruction 2017 SA05AMAF517R,"DA05AMAF517R
:unselected:","CA05AMAF517R
:unselected:","CB05AMAF517R
:unselected:","CH05AMAF517R
:unselected:",CW05AMAF517R,CI05AMAF517R,C305AMAF517R,C405AMAF517R,C205AMAF517R,CS05AMAF517R,CE05AMAF517R,CL05AMAF517R,,,,
STAAR Cumulative Met Standard 2017 SA05AMAC517R,"DA05AMAC517R
:unselected:","CA05AMAC517R
:unselected:","CB05AMAC517R
:unselected:","CH05AMAC517R
:unselected:",CW05AMAC517R,CI05AMAC517R,C305AMAC517R,C405AMAC517R,C205AMAC517R,CS05AMAC517R,CE05AMAC517R,CL05AMAC517R,,,,
Grade 8 Reading,,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level on First STAAR Administration 2017 SA08AREP517R DA08AREP517R CA08AREP517R
:unselected: :unselected:",,,"CB08AREP517R
:unselected:",CH08AREP517R,CW08AREP517R,CI08AREP517R,C308AREP517R,C408AREP517R,C208AREP517R,CS08AREP517R,CE08AREP517R,CL08AREP517R,,,,
Students Requiring Accelerated Instruction 2017 SA08AREF517R,"DA08AREF517R
:unselected:","CA08AREF517R
:unselected:","CB08AREF517R
:unselected:","CH08AREF517R
:unselected:",CW08AREF517R,CI08AREF517R,C308AREF517R,C408AREF517R,C208AREF517R,CS08AREF517R,CE08AREF517R,CL08AREF517R,,,,
STAAR Cumulative Met Standard 2017 SA08AREC517R,"DA08AREC517R
:unselected:","CA08AREC517R
:unselected:","CB08AREC517R
:unselected:","CH08AREC517R
:unselected:",CW08AREC517R,CI08AREC517R,C308AREC517R,C408AREC517R,C208AREC517R,CS08AREC517R,CE08AREC517R,CL08AREC517R,,,,
Grade 8 Mathematics,,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level on First STAAR Administration 2017 SA08AMAP517R DA08AMAP517R CA08AMAP517R
:unselected: :unselected:",,,"CB08AMAP517R
:unselected:","CH08AMAP517R
:unselected:",CW08AMAP517R,CI08AMAP517R,C308AMAP517R,C408AMAP517R,C208AMAP517R,CS08AMAP517R,CE08AMAP517R,CL08AMAP517R,,,,
Students Requiring Accelerated Instruction 2017 SA08AMAF517R,"DA08AMAF517R
:unselected:","CA08AMAF517R
:unselected:","CB08AMAF517R
:unselected:",CH08AMAF517R,CW08AMAF517R,CI08AMAF517R,C308AMAF517R,C408AMAF517R,C208AMAF517R,CS08AMAF517R,CE08AMAF517R,CL08AMAF517R,,,,
STAAR Cumulative Met Standard 2017 SA08AMAC517R,"DA08AMAC517R
:unselected:","CA08AMAC517R
:unselected:",CB08AMAC517R,CH08AMAC517R,CW08AMAC517R,CI08AMAC517R,C308AMAC517R,C408AMAC517R,C208AMAC517R,CS08AMAC517R,CE08AMAC517R,CL08AMAC517R,,,,
,,,,,,,,,,,,,,,,
,,,State,District,Campus,Bilingual Education,BE-Trans Early Exit,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ESL,ESL Content,ESL Pull-Out,LEP No Services,LEP With Services,Total ELL
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,,2017,SA00A001S17R,DA00A001S17R,CA00A001S17R,CU00A001S17R,CJ00A001S17R,"CK00A001S17R
:unselected:",CQ00A001S17R,CT00A001S17R,CC00A001S17R,CX00A001S17R,CY00A001S17R,CZ00A001S17R,C500A001S17R,CL00A001S17R
,,2016,SA00A001S16R,DA00A001S16R,CA00A001S16R,CU00A001S16R,CJ00A001S16R,"CK00A001S16R
:unselected:",CQ00A001S16R,CT00A001S16R,CC00A001S16R,CX00A001S16R,CY00A001S16R,CZ00A001S16R,C500A001S16R,CL00A001S16R
Reading,,2017,SA00AR01S17R,DA00AR01S17R,CA00AR01S17R,CU00AR01S17R,CJ00AR01S17R,"CK00AR01S17R
:unselected:",CQ00AR01S17R,CT00AR01S17R,CC00AR01S17R,CX00AR01S17R,CY00AR01S17R,CZ00AR01S17R,C500AR01S17R,CL00AR01S17R
,,2016,SA00AR01S16R,DA00AR01S16R,CA00AR01S16R,CU00AR01S16R,CJ00AR01S16R,"CK00AR01S16R
:unselected:","CQ00AR01S16R
:unselected:",CT00AR01S16R,CC00AR01S16R,CX00AR01S16R,CY00AR01S16R,CZ00AR01S16R,C500AR01S16R,CL00AR01S16R
Mathematics,,2017 2016,SA00AM01S17R SA00AM01S16R,DA00AM01S17R DA00AM01S16R,CA00AM01S17R CA00AM01S16R,"CU00AM01S17R CU00AM01S16R
:unselected:",CJ00AM01S17R CJ00AM01S16R,"CK00AM01S17R CK00AM01S16R
:unselected:
:unselected:",CQ00AM01S17R CQ00AM01S16R,CT00AM01S17R CT00AM01S16R,CC00AM01S17R CC00AM01S16R,CX00AM01S17R CX00AM01S16R,CY00AM01S17R CY00AM01S16R,CZ00AM01S17R CZ00AM01S16R,C500AM01S17R C500AM01S16R,CL00AM01S17R CL00AM01S16R
Writing,,2017,SA00AW01S17R,DA00AW01S17R,CA00AW01S17R,CU00AW01S17R,CJ00AW01S17R,"CK00AW01S17R
:unselected:",CQ00AW01S17R,CT00AW01S17R,CC00AW01S17R,CX00AW01S17R,CY00AW01S17R,CZ00AW01S17R,C500AW01S17R,CL00AW01S17R
,,2016,SA00AW01S16R,DA00AW01S16R,CA00AW01S16R,CU00AW01S16R,CJ00AW01S16R,"CK00AW01S16R
:unselected:",CQ00AW01S16R,CT00AW01S16R,CC00AW01S16R,CX00AW01S16R,CY00AW01S16R,CZ00AW01S16R,C500AW01S16R,CL00AW01S16R
Science,,2017 2016,SA00AC01S17R SA00AC01S16R,DA00AC01S17R DA00AC01S16R,CA00AC01S17R CA00AC01S16R,CU00AC01S17R CU00AC01S16R,CJ00AC01S17R CJ00AC01S16R,"CK00AC01S17R CK00AC01S16R
:unselected: :unselected:",CQ00AC01S17R CQ00AC01S16R,CT00AC01S17R CT00AC01S16R,CC00AC01S17R CC00AC01S16R,CX00AC01S17R CX00AC01S16R,CY00AC01S17R CY00AC01S16R,CZ00AC01S17R CZ00AC01S16R,C500AC01S17R C500AC01S16R,CL00AC01S17R CL00AC01S16R
Social Studies,,2017 2016,SA00AS01S17R SA00AS01S16R,DA00AS01S17R DA00AS01S16R,CA00AS01S17R CA00AS01S16R,CU00AS01S17R CU00AS01S16R,CJ00AS01S17R CJ00AS01S16R,"CK00AS01S17R CK00AS01S16R
:unselected: :unselected:",CQ00AS01S17R CQ00AS01S16R,CT00AS01S17R CT00AS01S16R,CC00AS01S17R CC00AS01S16R,CX00AS01S17R CX00AS01S16R,CY00AS01S17R CY00AS01S16R,CZ00AS01S17R CZ00AS01S16R,C500AS01S17R C500AS01S16R,CL00AS01S17R CL00AS01S16R
STAAR Percent at Meets Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
Two or More Subjects,,2017,SA00A004217R,DA00A004217R,CA00A004217R,CU00A004217R,CJ00A004217R,"CK00A004217R
:unselected:",CQ00A004217R,CT00A004217R,CC00A004217R,CX00A004217R,CY00A004217R,CZ00A004217R,C500A004217R,CL00A004217R
,,2016,SA00A004216R,DA00A004216R,CA00A004216R,CU00A004216R,CJ00A004216R,CK00A004216R,CQ00A004216R,CT00A004216R,CC00A004216R,CX00A004216R,CY00A004216R,CZ00A004216R,C500A004216R,CL00A004216R
Reading,,2017,SA00AR04217R,DA00AR04217R,CA00AR04217R,CU00AR04217R,CJ00AR04217R,"CK00AR04217R
:unselected:",CQ00AR04217R,CT00AR04217R,CC00AR04217R,CX00AR04217R,CY00AR04217R,CZ00AR04217R,C500AR04217R,CL00AR04217R
,,2016,SA00AR04216R,DA00AR04216R,CA00AR04216R,CU00AR04216R,CJ00AR04216R,"CK00AR04216R
:unselected:",CQ00AR04216R,CT00AR04216R,CC00AR04216R,CX00AR04216R,CY00AR04216R,CZ00AR04216R,C500AR04216R,CL00AR04216R
Mathematics,,2017,SA00AM04217R,DA00AM04217R,CA00AM04217R,CU00AM04217R,CJ00AM04217R,CK00AM04217R,CQ00AM04217R,CT00AM04217R,CC00AM04217R,CX00AM04217R,CY00AM04217R,CZ00AM04217R,C500AM04217R,CL00AM04217R
,,2016,SA00AM04216R,DA00AM04216R,CA00AM04216R,CU00AM04216R,CJ00AM04216R,CK00AM04216R,CQ00AM04216R,CT00AM04216R,CC00AM04216R,CX00AM04216R,CY00AM04216R,CZ00AM04216R,C500AM04216R,CL00AM04216R
Writing,,2017,SA00AW04217R,DA00AW04217R,CA00AW04217R,CU00AW04217R,CJ00AW04217R,CK00AW04217R,CQ00AW04217R,CT00AW04217R,CC00AW04217R,CX00AW04217R,CY00AW04217R,CZ00AW04217R,C500AW04217R,CL00AW04217R
,,2016,SA00AW04216R,DA00AW04216R,CA00AW04216R,CU00AW04216R,CJ00AW04216R,CK00AW04216R,CQ00AW04216R,CT00AW04216R,CC00AW04216R,CX00AW04216R,CY00AW04216R,CZ00AW04216R,C500AW04216R,CL00AW04216R
Science,,2017,SA00AC04217R,DA00AC04217R,CA00AC04217R,CU00AC04217R,CJ00AC04217R,CK00AC04217R,CQ00AC04217R,CT00AC04217R,CC00AC04217R,CX00AC04217R,CY00AC04217R,CZ00AC04217R,C500AC04217R,CL00AC04217R
,,2016,SA00AC04216R,DA00AC04216R,CA00AC04216R,CU00AC04216R,CJ00AC04216R,CK00AC04216R,CQ00AC04216R,CT00AC04216R,CC00AC04216R,CX00AC04216R,CY00AC04216R,CZ00AC04216R,C500AC04216R,CL00AC04216R
Social Studies,,2017 2016,SA00AS04217R SA00AS04216R,DA00AS04217R DA00AS04216R,CA00AS04217R CA00AS04216R,CU00AS04217R CU00AS04216R,CJ00AS04217R CJ00AS04216R,CK00AS04217R CK00AS04216R,CQ00AS04217R CQ00AS04216R,CT00AS04217R CT00AS04216R,CC00AS04217R CC00AS04216R,CX00AS04217R CX00AS04216R,CY00AS04217R CY00AS04216R,CZ00AS04217R CZ00AS04216R,C500AS04217R C500AS04216R,CL00AS04217R CL00AS04216R
STAAR Percent at Masters Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,,2017,SA00A003A17R,DA00A003A17R,CA00A003A17R,CU00A003A17R,CJ00A003A17R,CK00A003A17R,CQ00A003A17R,CT00A003A17R,CC00A003A17R,CX00A003A17R,CY00A003A17R,CZ00A003A17R,C500A003A17R,CL00A003A17R
,,2016,SA00A003A16R,DA00A003A16R,CA00A003A16R,CU00A003A16R,CJ00A003A16R,CK00A003A16R,CQ00A003A16R,CT00A003A16R,CC00A003A16R,CX00A003A16R,CY00A003A16R,CZ00A003A16R,C500A003A16R,CL00A003A16R
Reading,,2017,SA00AR03A17R,DA00AR03A17R,CA00AR03A17R,CU00AR03A17R,CJ00AR03A17R,CK00AR03A17R,CQ00AR03A17R,CT00AR03A17R,CC00AR03A17R,CX00AR03A17R,CY00AR03A17R,CZ00AR03A17R,C500AR03A17R,CL00AR03A17R
,,2016,SA00AR03A16R,DA00AR03A16R,CA00AR03A16R,CU00AR03A16R,CJ00AR03A16R,CK00AR03A16R,CQ00AR03A16R,CT00AR03A16R,CC00AR03A16R,CX00AR03A16R,CY00AR03A16R,CZ00AR03A16R,C500AR03A16R,CL00AR03A16R
Mathematics,,2017 2016,SA00AM03A17R SA00AM03A16R,DA00AM03A17R DA00AM03A16R,CA00AM03A17R CA00AM03A16R,"CU00AM03A17R CU00AM03A16R
:unselected:",CJ00AM03A17R CJ00AM03A16R,CK00AM03A17R CK00AM03A16R,CQ00AM03A17R CQ00AM03A16R,CT00AM03A17R CT00AM03A16R,CC00AM03A17R CC00AM03A16R,CX00AM03A17R CX00AM03A16R,CY00AM03A17R CY00AM03A16R,CZ00AM03A17R CZ00AM03A16R,C500AM03A17R C500AM03A16R,CL00AM03A17R CL00AM03A16R
Writing,,2017,SA00AW03A17R,DA00AW03A17R,CA00AW03A17R,CU00AW03A17R,CJ00AW03A17R,CK00AW03A17R,CQ00AW03A17R,CT00AW03A17R,CC00AW03A17R,CX00AW03A17R,CY00AW03A17R,CZ00AW03A17R,C500AW03A17R,CL00AW03A17R
,,2016,SA00AW03A16R,DA00AW03A16R,CA00AW03A16R,CU00AW03A16R,CJ00AW03A16R,"CK00AW03A16R
:unselected:",CQ00AW03A16R,CT00AW03A16R,CC00AW03A16R,CX00AW03A16R,CY00AW03A16R,CZ00AW03A16R,C500AW03A16R,CL00AW03A16R
Science,,2017,SA00AC03A17R,DA00AC03A17R,CA00AC03A17R,CU00AC03A17R,CJ00AC03A17R,CK00AC03A17R,CQ00AC03A17R,CT00AC03A17R,CC00AC03A17R,CX00AC03A17R,CY00AC03A17R,CZ00AC03A17R,C500AC03A17R,CL00AC03A17R
,,2016,SA00AC03A16R,DA00AC03A16R,CA00AC03A16R,"CU00AC03A16R
:unselected:",CJ00AC03A16R,CK00AC03A16R,CQ00AC03A16R,CT00AC03A16R,CC00AC03A16R,CX00AC03A16R,CY00AC03A16R,CZ00AC03A16R,C500AC03A16R,CL00AC03A16R
Social Studies,,2017 2016,SA00AS03A17R SA00AS03A16R,DA00AS03A17R DA00AS03A16R,CA00AS03A17R CA00AS03A16R,CU00AS03A17R CU00AS03A16R,CJ00AS03A17R CJ00AS03A16R,CK00AS03A17R CK00AS03A16R,CQ00AS03A17R CQ00AS03A16R,CT00AS03A17R CT00AS03A16R,CC00AS03A17R CC00AS03A16R,CX00AS03A17R CX00AS03A16R,CY00AS03A17R CY00AS03A16R,CZ00AS03A17R CZ00AS03A16R,C500AS03A17R C500AS03A16R,CL00AS03A17R CL00AS03A16R
STAAR Percent Met or Exceeded Progress,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,,2017,SA00A002G17R,DA00A002G17R,CA00A002G17R,CU00A002G17R,CJ00A002G17R,"CK00A002G17R
:unselected:",CQ00A002G17R,CT00A002G17R,CC00A002G17R,CX00A002G17R,CY00A002G17R,CZ00A002G17R,C500A002G17R,CL00A002G17R
,,2016,SA00A002G16R,DA00A002G16R,CA00A002G16R,CU00A002G16R,CJ00A002G16R,CK00A002G16R,CQ00A002G16R,CT00A002G16R,CC00A002G16R,CX00A002G16R,CY00A002G16R,CZ00A002G16R,C500A002G16R,CL00A002G16R
Reading,,2017 2016,SA00AR02G17R SA00AR02G16R,DA00AR02G17R DA00AR02G16R,CA00AR02G17R CA00AR02G16R,CU00AR02G17R CU00AR02G16R,CJ00AR02G17R CJ00AR02G16R,"CK00AR02G17R CK00AR02G16R
:unselected:",CQ00AR02G17R CQ00AR02G16R,CT00AR02G17R CT00AR02G16R,CC00AR02G17R CC00AR02G16R,CX00AR02G17R CX00AR02G16R,CY00AR02G17R CY00AR02G16R,CZ00AR02G17R CZ00AR02G16R,C500AR02G17R C500AR02G16R,CL00AR02G17R CL00AR02G16R
Mathematics,,2017 2016,SA00AM02G17R SA00AM02G16R,DA00AM02G17R DA00AM02G16R,CA00AM02G17R CA00AM02G16R,CU00AM02G17R CU00AM02G16R,CJ00AM02G17R CJ00AM02G16R,CK00AM02G17R CK00AM02G16R,CQ00AM02G17R CQ00AM02G16R,CT00AM02G17R CT00AM02G16R,CC00AM02G17R CC00AM02G16R,CX00AM02G17R CX00AM02G16R,CY00AM02G17R CY00AM02G16R,CZ00AM02G17R CZ00AM02G16R,C500AM02G17R C500AM02G16R,CL00AM02G17R CL00AM02G16R
STAAR Percent Exceeded Progress,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,,2017,SA00A002E17R,DA00A002E17R,CA00A002E17R,CU00A002E17R,CJ00A002E17R,"CK00A002E17R
:unselected:",CQ00A002E17R,CT00A002E17R,CC00A002E17R,CX00A002E17R,CY00A002E17R,CZ00A002E17R,C500A002E17R,CL00A002E17R
,,2016,SA00A002E16R,DA00A002E16R,CA00A002E16R,CU00A002E16R,CJ00A002E16R,"CK00A002E16R
:unselected:",CQ00A002E16R,CT00A002E16R,CC00A002E16R,CX00A002E16R,CY00A002E16R,CZ00A002E16R,C500A002E16R,CL00A002E16R
Reading,,2017 2016,SA00AR02E17R SA00AR02E16R,DA00AR02E17R DA00AR02E16R,CA00AR02E17R CA00AR02E16R,CU00AR02E17R CU00AR02E16R,CJ00AR02E17R CJ00AR02E16R,"CK00AR02E17R CK00AR02E16R
:unselected: :unselected:",CQ00AR02E17R CQ00AR02E16R,CT00AR02E17R CT00AR02E16R,CC00AR02E17R CC00AR02E16R,CX00AR02E17R CX00AR02E16R,CY00AR02E17R CY00AR02E16R,CZ00AR02E17R CZ00AR02E16R,C500AR02E17R C500AR02E16R,CL00AR02E17R CL00AR02E16R
Mathematics,,2017 2016,SA00AM02E17R SA00AM02E16R,DA00AM02E17R DA00AM02E16R,CA00AM02E17R CA00AM02E16R,CU00AM02E17R CU00AM02E16R,CJ00AM02E17R CJ00AM02E16R,"CK00AM02E17R CK00AM02E16R
:unselected: :unselected:",CQ00AM02E17R CQ00AM02E16R,CT00AM02E17R CT00AM02E16R,CC00AM02E17R CC00AM02E16R,CX00AM02E17R CX00AM02E16R,CY00AM02E17R CY00AM02E16R,CZ00AM02E17R CZ00AM02E16R,C500AM02E17R C500AM02E16R,CL00AM02E17R CL00AM02E16R
Progress of Prior-Year Non-Proficient Students,,,,,,,,,,,,,,,,
Sum of Grades 4-8,,,,,,,,,,,,,,,,
Reading,,2017,SA408FR17R,DA408FR17R,CA408FR17R,CU408FR17R,CJ408FR17R,CK408FR17R,CQ408FR17R,CT408FR17R,CC408FR17R,CX408FR17R,CY408FR17R,CZ408FR17R,C5408FR17R,CL408FR17R
,,2016,SA408FR16R,DA408FR16R,CA408FR16R,CU408FR16R,CJ408FR16R,CK408FR16R,CQ408FR16R,CT408FR16R,CC408FR16R,CX408FR16R,CY408FR16R,CZ408FR16R,C5408FR16R,CL408FR16R
Mathematics,,2017,SA408FM17R,DA408FM17R,CA408FM17R,CU408FM17R,CJ408FM17R,CK408FM17R,CQ408FM17R,CT408FM17R,CC408FM17R,CX408FM17R,CY408FM17R,CZ408FM17R,C5408FM17R,CL408FM17R
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
2017 STAAR Participation (All Grades),,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,
Test Participant Included in Accountability Not Included in Accountability,SA00A00T017R SAYAA00T017R,"DA00A00T017R DAYAA00T017R
:unselected:
:unselected:","CA00A00T017R CAYAA00T017R
:unselected:
:unselected:",CB00A00T017R CBYAA00T017R,CH00A00T017R CHYAA00T017R,CW00A00T017R CWYAA00T017R,CI00A00T017R CIYAA00T017R,C300A00T017R C3YAA00T017R,C400A00T017R C4YAA00T017R,C200A00T017R C2YAA00T017R,CS00A00T017R CSYAA00T017R,CE00A00T017R CEYAA00T017R,CL00A00T017R CLYAA00T017R,,,
Mobile Other Exclusions,SAYMA00T017R SAYXA00T017R,"DAYMA00T017R DAYXA00T017R
:unselected:
:unselected:","CAYMA00T017R CAYXA00T017R
:unselected:
:unselected:",CBYMA00T017R CBYXA00T017R,CHYMA00T017R CHYXA00T017R,CWYMA00T017R CWYXA00T017R,CIYMA00T017R CIYXA00T017R,C3YMA00T017R C3YXA00T017R,C4YMA00T017R C4YXA00T017R,C2YMA00T017R C2YXA00T017R,CSYMA00T017R CSYXA00T017R,CEYMA00T017R CEYXA00T017R,CLYMA00T017R CLYXA00T017R,,,
